StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Consent ","Age ","Gender ",OMSI,"Prolific ID ",I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,I_13,I_14,I_15,I_16,I_17,"I_Rel ",X _1,X _2,X _3,X _4,X _5,X _6,X _7,X _8,X _9,X _10,X _11,X _12,X _13,X _14,X _15,X _16,X_Rel,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_Rel,Music check,PROLIFIC_PID
2025-09-02 14:18:56,2025-09-02 14:20:37,0,90.195.47.175,100,100,1,2025-09-02 14:20:37,R_8eK566GUHFgP156,,,,,52.1073,-0.4649,anonymous,EN,2,32,2,2,572f8258ad13160010008a61,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,572f8258ad13160010008a61
2025-09-02 14:19:23,2025-09-02 14:22:12,0,78.147.39.89,100,169,1,2025-09-02 14:22:12,R_8zQukpwwGZyn357,,,,,52.9648,-1.2132,anonymous,EN,2,33,2,1,55b95e2ffdf99b469f622883,4,2,1,2,2,3,3,4,2,4,3,3,4,4,4,4,1,2,4,2,1,1,1,3,5,4,3,4,4,3,4,3,3,3,2,2,2,1,1,1,2,2,3,2,3,2,5,4,5,4,2,2,2,55b95e2ffdf99b469f622883
2025-09-02 14:18:58,2025-09-02 14:22:25,0,92.41.158.48,100,207,1,2025-09-02 14:22:26,R_2prIweXcyeadHfz,,,,,51.5277,0.0252,anonymous,EN,2,61,1,4,5eca46c6c1e2c601290bab15,3,2,3,2,3,2,3,2,2,3,4,4,4,3,2,4,1,2,2,2,3,2,3,1,4,4,3,2,4,3,4,4,3,2,2,2,3,3,3,3,2,4,4,3,2,4,4,4,4,3,3,2,2,5eca46c6c1e2c601290bab15
2025-09-02 14:19:30,2025-09-02 14:22:39,0,188.31.124.226,100,189,1,2025-09-02 14:22:40,R_8loZiZnXDZSDMNH,,,,,52.4241,-1.8404,anonymous,EN,2,44,1,2,57d5ab3a722df500017f3622,4,2,1,1,1,3,3,2,2,2,3,4,5,3,2,4,1,2,2,1,1,1,1,3,4,4,2,2,3,4,3,4,2,2,1,4,3,1,1,1,4,5,4,2,2,4,5,4,4,4,3,2,2,57d5ab3a722df500017f3622
2025-09-02 14:19:22,2025-09-02 14:22:51,0,193.35.234.102,100,208,1,2025-09-02 14:22:51,R_2gFRN9IGlf2fOqs,,,,,51.4535,-2.5917,anonymous,EN,2,53,1,2,642ef01a04c9f327767cde23,3,4,3,3,3,3,3,3,3,4,4,4,3,4,4,4,1,3,4,3,3,3,3,3,3,3,3,4,2,4,3,4,4,4,2,3,3,3,3,3,4,3,3,2,3,3,4,3,4,2,3,2,2,642ef01a04c9f327767cde23
2025-09-02 14:19:04,2025-09-02 14:22:53,0,90.200.153.99,100,228,1,2025-09-02 14:22:53,R_8qU518Ru93wIMaV,,,,,52.1633,-0.4087,anonymous,EN,2,63,2,3,5fac4dc60d67201ffe756ca1,2,2,1,1,1,1,3,3,1,3,4,4,4,4,4,3,1,3,1,2,1,1,1,1,4,4,2,3,3,4,4,3,2,3,2,1,1,1,1,1,2,4,4,2,2,3,4,4,4,3,2,1,2,5fac4dc60d67201ffe756ca1
2025-09-02 14:19:15,2025-09-02 14:23:24,0,80.192.238.45,100,249,1,2025-09-02 14:23:25,R_8lAhDmTH8QGj9oi,,,,,52.532,-1.815,anonymous,EN,2,46,2,3,584d88ee6a3e990001bf1b67,5,4,4,4,4,5,5,5,5,5,4,5,5,5,4,5,1,4,5,4,4,4,4,4,5,5,4,4,4,4,5,5,5,4,3,5,4,4,4,4,5,5,5,5,4,4,5,5,5,5,4,3,2,584d88ee6a3e990001bf1b67
2025-09-02 14:19:12,2025-09-02 14:23:43,0,86.142.186.55,100,270,1,2025-09-02 14:23:43,R_8NFntx9pGipE7y1,,,,,52.0316,-0.3393,anonymous,EN,2,41,2,2,5f61023f891bb903b975dbee,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,1,4,5,4,4,4,4,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,5,5,5,5,4,5,4,5,5,4,4,3,4,2,5f61023f891bb903b975dbee
2025-09-02 14:19:10,2025-09-02 14:23:45,0,94.10.115.212,100,275,1,2025-09-02 14:23:45,R_2b2WnN8mXoc1ADg,,,,,53.9573,-1.0837,anonymous,EN,2,27,2,1,66797434f2976e5e07473fe4,2,2,4,1,1,2,2,2,2,3,2,5,4,4,4,4,1,2,2,1,1,1,1,1,2,2,2,2,2,5,4,5,2,4,1,2,1,1,1,1,2,1,1,2,2,2,4,4,4,1,2,1,1,66797434f2976e5e07473fe4
2025-09-02 14:19:00,2025-09-02 14:24:24,0,84.9.77.100,100,324,1,2025-09-02 14:24:25,R_24wIccYqJdHUOC6,,,,,53.1436,0.3363,anonymous,EN,2,62,1,1,63a32488e685c05e9fb5988e,4,2,3,3,4,4,4,4,4,3,4,4,4,4,4,4,1,1,3,2,2,2,2,2,4,3,2,2,4,4,3,4,2,3,1,2,2,2,2,2,2,3,2,2,2,3,4,3,4,2,2,1,2,63a32488e685c05e9fb5988e
2025-09-02 14:21:07,2025-09-02 14:24:37,0,84.67.4.86,100,209,1,2025-09-02 14:24:37,R_2fxXYal9VeIEBeX,,,,,51.9582,-0.5872,anonymous,EN,2,29,1,2,5ce5bcf74caf470001da7c33,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,3,5,4,4,4,3,4,4,5,4,4,4,5,4,4,4,4,2,4,2,2,3,3,4,4,4,3,4,3,4,5,4,3,3,2,2,5ce5bcf74caf470001da7c33
2025-09-02 14:18:59,2025-09-02 14:24:59,0,82.133.74.251,100,359,1,2025-09-02 14:24:59,R_2wGodK1RFIJccff,,,,,51.3915,-0.0736,anonymous,EN,2,33,2,3,60fe8de5380ae67bf7370ac8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,4,3,5,5,5,3,5,5,5,4,5,5,4,5,3,5,3,2,60fe8de5380ae67bf7370ac8
2025-09-02 14:19:57,2025-09-02 14:25:01,0,148.252.128.149,100,304,1,2025-09-02 14:25:01,R_2xx9Jrrzkfa6WC3,,,,,51.4964,-0.1224,anonymous,EN,2,66,1,3,61572aeab6ac8a5fe94b43b4,5,4,5,4,4,4,3,3,2,4,3,4,4,5,5,5,1,2,4,4,4,3,4,4,4,4,2,3,4,4,4,4,4,4,2,5,4,4,4,4,4,3,3,2,4,3,5,4,5,5,5,2,2,61572aeab6ac8a5fe94b43b4
2025-09-02 14:21:05,2025-09-02 14:25:02,0,185.74.52.47,100,236,1,2025-09-02 14:25:02,R_2s55kW8ZfOxUAOa,,,,,53.4472,-1.9419,anonymous,EN,2,57,1,3,63cd461c5f597e27b2a054fb,5,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,1,4,4,4,3,3,3,4,5,5,4,4,4,5,4,5,4,5,4,5,4,3,3,3,4,5,5,5,4,4,5,5,5,3,4,4,2,63cd461c5f597e27b2a054fb
2025-09-02 14:19:22,2025-09-02 14:25:07,0,91.125.30.163,100,344,1,2025-09-02 14:25:07,R_2QWW7mX0Go5Dww5,,,,,53.0264,-1.4894,anonymous,EN,2,36,2,1,5daedfcfaebbbb0017ff84af,4,4,4,1,1,2,2,3,5,4,4,5,5,5,4,5,1,1,2,2,1,1,1,1,4,4,1,3,3,4,3,5,2,4,1,1,1,1,1,1,1,1,2,1,2,3,2,2,3,2,1,1,2,5daedfcfaebbbb0017ff84af
2025-09-02 14:19:17,2025-09-02 14:25:17,0,81.97.49.108,100,360,1,2025-09-02 14:25:17,R_8Klt7hNPjPwkABn,,,,,53.4529,-1.3047,anonymous,EN,2,32,1,2,6658b23217b161dc426bd14d,5,4,5,4,4,1,3,4,5,4,5,5,5,5,5,5,1,2,5,4,3,3,3,4,5,5,3,5,3,5,4,5,4,5,2,5,3,3,3,4,4,5,4,4,5,5,5,5,5,4,5,3,2,6658b23217b161dc426bd14d
